QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Derek Carr (7975776),David Johnson (7975878),Ty Montgomery (7975838),Rishard Matthews (7975941),Kenny Britt (7976017),Allen Robinson (7975945),Kyle Rudolph (7976070),Tyler Eifert (7976117),Cincinnati Bengals (7976474)
Aaron Rodgers (7975752),Lamar Miller (7975893),Devonta Freeman (7975862),Rishard Matthews (7975941),Pierre Garcon (7975974),Stefon Diggs (7975954),Delanie Walker (7976060),Doug Baldwin (7976008),New England Patriots (7976455)
Andrew Luck (7975774),Jordan Howard (7975856),David Johnson (7975878),Alshon Jeffery (7975976),Pierre Garcon (7975974),Rishard Matthews (7975941),Hunter Henry (7976080),C.J. Fiedorowicz (7976119),Los Angeles Rams (7976471)
Andrew Luck (7975774),Lamar Miller (7975893),Doug Martin (7975805),Amari Cooper (7976002),Jarvis Landry (7975904),A.J. Green (7976030),Antonio Gates (7976073),Tyler Eifert (7976117),Tennessee Titans (7976457)
Cam Newton (7975772),Ty Montgomery (7975838),Devonta Freeman (7975862),Tyrell Williams (7975966),Allen Robinson (7975945),Rishard Matthews (7975941),Kyle Rudolph (7976070),Todd Gurley (7975889),New England Patriots (7976455)
Cam Newton (7975772),David Johnson (7975878),Melvin Gordon (7975842),Jamison Crowder (7975980),Rishard Matthews (7975941),Allen Robinson (7975945),Martellus Bennett (7976054),C.J. Fiedorowicz (7976119),Miami Dolphins (7976452)
Jameis Winston (7975740),Latavius Murray (7975869),Todd Gurley (7975889),Adam Thielen (7975955),Sammy Watkins (7975907),Cameron Meredith (7975978),Jimmy Graham (7976101),David Johnson (7975878),Atlanta Falcons (7976465)
Andrew Luck (7975774),Ty Montgomery (7975838),Devonta Freeman (7975862),DeSean Jackson (7975972),Pierre Garcon (7975974),Stefon Diggs (7975954),Delanie Walker (7976060),Lamar Miller (7975893),New England Patriots (7976455)
Andrew Luck (7975774),David Johnson (7975878),Carlos Hyde (7975886),Alshon Jeffery (7975976),Rishard Matthews (7975941),Allen Robinson (7975945),Kyle Rudolph (7976070),Jimmy Graham (7976101),Atlanta Falcons (7976465)
Andrew Luck (7975774),Carlos Hyde (7975886),David Johnson (7975878),Pierre Garcon (7975974),Tyrell Williams (7975966),Stefon Diggs (7975954),Garrett Celek (7976109),Rishard Matthews (7975941),New England Patriots (7976455)
Andrew Luck (7975774),Ty Montgomery (7975838),David Johnson (7975878),Pierre Garcon (7975974),Rishard Matthews (7975941),Alshon Jeffery (7975976),Martellus Bennett (7976054),Kyle Rudolph (7976070),Arizona Cardinals (7976469)
Derek Carr (7975776),Bilal Powell (7975815),Ty Montgomery (7975838),Jarvis Landry (7975904),Michael Crabtree (7975996),Julian Edelman (7975926),Martellus Bennett (7976054),DeAndre Hopkins (7976033),Green Bay Packers (7976459)
Cam Newton (7975772),Ty Montgomery (7975838),David Johnson (7975878),Kenny Britt (7976017),Pierre Garcon (7975974),Stefon Diggs (7975954),Charles Clay (7976039),Martellus Bennett (7976054),New England Patriots (7976455)
Derek Carr (7975776),David Johnson (7975878),Carlos Hyde (7975886),Tyrell Williams (7975966),Kenny Britt (7976017),Pierre Garcon (7975974),Cameron Brate (7976052),Jeremy Hill (7975898),Arizona Cardinals (7976469)
Matt Ryan (7975769),David Johnson (7975878),Jonathan Stewart (7975858),Willie Snead (7975915),Kenny Britt (7976017),Allen Robinson (7975945),Martellus Bennett (7976054),Jimmy Graham (7976101),New England Patriots (7976455)
Cam Newton (7975772),Ty Montgomery (7975838),Devonta Freeman (7975862),DeSean Jackson (7975972),Stefon Diggs (7975954),Larry Fitzgerald (7976006),Antonio Gates (7976073),Tyler Eifert (7976117),New England Patriots (7976455)
Matt Ryan (7975769),Jay Ajayi (7975799),Todd Gurley (7975889),Larry Fitzgerald (7976006),Tyrell Williams (7975966),Rishard Matthews (7975941),Antonio Gates (7976073),Lamar Miller (7975893),New England Patriots (7976455)
Matt Ryan (7975769),Ty Montgomery (7975838),Latavius Murray (7975869),Stefon Diggs (7975954),Kenny Britt (7976017),Larry Fitzgerald (7976006),Antonio Gates (7976073),Tyler Eifert (7976117),New England Patriots (7976455)
Cam Newton (7975772),David Johnson (7975878),Doug Martin (7975805),Rishard Matthews (7975941),Stefon Diggs (7975954),Pierre Garcon (7975974),C.J. Fiedorowicz (7976119),Kenny Britt (7976017),Tennessee Titans (7976457)
Jameis Winston (7975740),David Johnson (7975878),Latavius Murray (7975869),Dontrelle Inman (7975960),Rishard Matthews (7975941),Allen Robinson (7975945),Jimmy Graham (7976101),Marqise Lee (7975943),Cincinnati Bengals (7976474)
Andrew Luck (7975774),Ty Montgomery (7975838),Devonta Freeman (7975862),Pierre Garcon (7975974),Tyrell Williams (7975966),DeSean Jackson (7975972),Delanie Walker (7976060),Stefon Diggs (7975954),San Diego Chargers (7976462)
Matt Ryan (7975769),Carlos Hyde (7975886),Jonathan Stewart (7975858),Rishard Matthews (7975941),Pierre Garcon (7975974),Tyrell Williams (7975966),Tyler Eifert (7976117),T.Y. Hilton (7975997),New England Patriots (7976455)
Matt Ryan (7975769),Frank Gore (7975865),David Johnson (7975878),Dontrelle Inman (7975960),Marqise Lee (7975943),Allen Robinson (7975945),Martellus Bennett (7976054),Carlos Hyde (7975886),New England Patriots (7976455)
Jameis Winston (7975740),Jonathan Stewart (7975858),David Johnson (7975878),Alshon Jeffery (7975976),Kenny Britt (7976017),Tyrell Williams (7975966),Martellus Bennett (7976054),Mark Ingram (7975807),Arizona Cardinals (7976469)
